,angle
0,86.409
1,96.464
2,56.477
3,93.052
4,63.779
5,50.005
6,69.52
7,49.271
8,79.942
9,87.56
10,86.242
11,88.679
12,54.792
13,79.023
14,58.264
15,55.612
16,73.86
17,29.087
18,58.687
19,50.222
20,67.837
21,69.49
22,61.815
23,50.129
24,60.242
25,48.53
26,83.537
27,61.694
28,38.354
29,62.684
30,46.931
31,58.358
32,76.477
33,89.962
34,79.106
35,44.978
36,40.491
37,63.008
38,47.91
39,53.673
40,70.071
41,45.546
42,53.564
43,96.063
44,53.575
45,15.484
46,51.186
47,17.098
48,62.093
49,109.541
50,52.03
51,42.861
52,51.887
53,32.585
54,71.743
55,62.751
56,70.138
57,33.967
58,53.092
59,64.625
60,74.98
61,34.604
62,35.356
63,44.702
64,77.771
65,56.725
66,84.153
67,36.83
68,60.713
69,46.597
70,56.437
71,41.526
72,46.531
73,67.037
74,84.664
75,48.897
76,34.126
77,67.18
78,36.16
79,80.835
80,29.989
81,35.294
82,93.614
83,46.459
84,42.457
85,37.351
86,99.728
