,angle
0,48.409
1,67.527
2,58.556
3,59.64
4,33.306
5,88.967
6,97.51
7,74.932
8,54.066
9,101.574
10,56.82
11,52.077
12,95.806
13,67.974
14,91.304
15,100.756
16,50.12
17,59.984
18,50.628
19,73.76
20,49.588
21,42.139
22,74.869
23,72.141
24,93.642
25,101.486
26,38.636
27,51.107
28,24.181
29,48.461
30,41.144
31,55.344
32,85.765
33,43.584
34,58.534
35,40.964
36,48.622
37,82.217
38,62.387
39,75.746
40,69.004
41,51.966
42,82.089
43,49.977
44,61.418
45,91.464
46,69.415
47,97.866
48,36.027
49,51.817
50,67.619
51,61.484
52,52.797
53,17.95
54,76.543
55,82.618
56,52.713
57,34.909
58,32.284
59,39.91
60,89.758
61,87.099
62,69.101
63,63.963
64,112.395
65,46.565
66,58.586
67,69.177
68,47.543
69,47.248
70,82.764
71,83.663
72,43.48
73,54.912
74,55.502
75,56.365
76,54.45
77,61.248
78,98.912
79,75.276
80,52.376
81,82.475
82,37.639
83,27.9
84,74.909
85,99.526
86,47.72
87,59.442
88,31.372
89,62.974
90,51.846
91,84.998
92,39.751
93,29.418
94,63.086
95,68.759
96,57.21
97,57.767
98,65.412
99,34.696
100,70.33
101,63.104
102,40.435
103,55.285
104,104.084
105,116.426
106,69.853
107,70.597
108,61.961
109,97.095
110,111.713
111,65.316
112,73.078
113,65.9
114,58.507
115,78.304
116,75.833
117,43.926
118,99.308
119,50.246
120,67.668
121,64.292
122,72.87
123,63.17
124,62.034
125,73.1
126,59.648
127,56.415
128,88.436
129,107.061
130,23.509
131,31.664
132,101.087
133,90.954
134,96.621
135,69.216
136,81.983
137,44.585
138,97.916
139,74.105
140,93.961
141,27.981
142,82.853
143,44.507
144,95.893
145,27.174
146,87.991
147,112.081
148,82.646
149,40.754
150,36.637
151,45.73
152,46.08
153,91.45
154,87.37
155,63.057
156,44.053
157,73.068
158,48.48
159,33.615
160,68.199
161,62.1
162,91.945
163,83.274
164,74.917
165,64.714
166,60.505
167,60.019
168,121.823
169,67.06
170,86.19
171,76.065
172,39.106
173,91.953
174,88.951
175,87.98
176,72.784
177,51.117
178,78.357
179,118.576
180,66.3
181,44.243
182,56.557
183,53.736
184,57.795
185,46.524
186,90.08
187,110.694
188,72.411
189,35.134
190,50.927
191,77.116
192,90.065
193,106.64
194,119.316
195,60.265
196,45.448
197,56.882
198,56.813
199,91.264
200,60.623
201,15.64
202,65.581
203,46.832
204,73.18
205,94.415
206,39.782
207,31.619
208,53.184
209,68.375
210,62.862
211,31.792
212,57.149
213,35.947
214,28.115
215,48.042
216,69.105
217,25.195
218,82.629
219,40.715
220,59.125
221,79.046
222,36.855
